0,0,0,00,00,00,000000
0,2,170,00,02,aa,0002aa
20,170,0,14,aa,00,14aa00
0,170,170,00,aa,aa,00aaaa
170,0,3,aa,00,03,aa0003
170,0,170,aa,00,aa,aa00aa
170,85,0,aa,55,00,aa5500
170,170,170,aa,aa,aa,aaaaaa
85,85,85,55,55,55,555555
85,85,255,55,55,ff,5555ff
85,255,85,55,ff,55,55ff55
85,255,255,55,ff,ff,55ffff
255,85,85,ff,55,55,ff5555
253,85,255,fd,55,ff,fd55ff
255,255,85,ff,ff,55,ffff55
255,255,255,ff,ff,ff,ffffff
0,0,0,00,00,00,000000
16,16,16,10,10,10,101010
32,32,32,20,20,20,202020
53,53,53,35,35,35,353535
69,69,69,45,45,45,454545
85,85,85,55,55,55,555555
101,101,101,65,65,65,656565
117,117,117,75,75,75,757575
138,138,138,8a,8a,8a,8a8a8a
154,154,154,9a,9a,9a,9a9a9a
170,170,170,aa,aa,aa,aaaaaa
186,186,186,ba,ba,ba,bababa
202,202,202,ca,ca,ca,cacaca
223,223,223,df,df,df,dfdfdf
239,239,239,ef,ef,ef,efefef
255,255,255,ff,ff,ff,ffffff
0,4,255,00,04,ff,0004ff
65,4,255,41,04,ff,4104ff
130,3,255,82,03,ff,8203ff
190,2,255,be,02,ff,be02ff
253,0,255,fd,00,ff,fd00ff
254,0,190,fe,00,be,fe00be
255,0,130,ff,00,82,ff0082
255,0,65,ff,00,41,ff0041
255,0,8,ff,00,08,ff0008
255,65,5,ff,41,05,ff4105
255,130,0,ff,82,00,ff8200
255,190,0,ff,be,00,ffbe00
255,255,0,ff,ff,00,ffff00
190,255,0,be,ff,00,beff00
130,255,0,82,ff,00,82ff00
65,255,1,41,ff,01,41ff01
36,255,0,24,ff,00,24ff00
34,255,66,22,ff,42,22ff42
29,255,130,1d,ff,82,1dff82
18,255,190,12,ff,be,12ffbe
0,255,255,00,ff,ff,00ffff
0,190,255,00,be,ff,00beff
1,130,255,01,82,ff,0182ff
0,65,255,00,41,ff,0041ff
130,130,255,82,82,ff,8282ff
158,130,255,9e,82,ff,9e82ff
190,130,255,be,82,ff,be82ff
223,130,255,df,82,ff,df82ff
253,130,255,fd,82,ff,fd82ff
254,130,223,fe,82,df,fe82df
255,130,190,ff,82,be,ff82be
255,130,158,ff,82,9e,ff829e
255,130,130,ff,82,82,ff8282
255,158,130,ff,9e,82,ff9e82
255,190,130,ff,be,82,ffbe82
255,223,130,ff,df,82,ffdf82
255,255,130,ff,ff,82,ffff82
223,255,130,df,ff,82,dfff82
190,255,130,be,ff,82,beff82
158,255,130,9e,ff,82,9eff82
130,255,130,82,ff,82,82ff82
130,255,158,82,ff,9e,82ff9e
130,255,190,82,ff,be,82ffbe
130,255,223,82,ff,df,82ffdf
130,255,255,82,ff,ff,82ffff
130,223,255,82,df,ff,82dfff
130,190,255,82,be,ff,82beff
130,158,255,82,9e,ff,829eff
186,186,255,ba,ba,ff,babaff
202,186,255,ca,ba,ff,cabaff
223,186,255,df,ba,ff,dfbaff
239,186,255,ef,ba,ff,efbaff
254,186,255,fe,ba,ff,febaff
254,186,239,fe,ba,ef,febaef
255,186,223,ff,ba,df,ffbadf
255,186,202,ff,ba,ca,ffbaca
255,186,186,ff,ba,ba,ffbaba
255,202,186,ff,ca,ba,ffcaba
255,223,186,ff,df,ba,ffdfba
255,239,186,ff,ef,ba,ffefba
255,255,186,ff,ff,ba,ffffba
239,255,186,ef,ff,ba,efffba
223,255,186,df,ff,ba,dfffba
202,255,187,ca,ff,bb,caffbb
186,255,186,ba,ff,ba,baffba
186,255,202,ba,ff,ca,baffca
